file_name,а,без,было,в,время,все,всех,даже,для,до,его,если,же,за,и,из,их,как,когда,которые,который,может,мы,на,не,нет,но,он,оно,от,партии,по,при,рабочих,с,со,социал,так,тем,теперь,того,только,у,уже,что,чтобы,это,этой,более,борьбы,бы,был,быть,во,вопрос,всего,г,демократии,ее,есть,еще,или,им,к,лишь,между,можно,нам,нас,ни,о,об,она,они,организации,очень,политической,пролетариата,против,революции,россии,своей,себе,себя,то,том,чем,эти,этом,этот,будет,были,дело,именно,ли,т,этого,была,тов,я,author_folder
plehanov_logika_rus_terrorizma_I.txt,15,2,1,66,7,19,0,3,15,1,6,12,19,9,76,7,14,24,8,1,2,8,12,30,60,3,22,4,3,1,1,18,9,4,14,2,0,8,3,8,10,9,7,9,57,4,24,5,4,13,17,4,6,6,0,0,2,0,6,5,10,9,2,17,5,2,3,7,7,9,9,3,19,7,2,9,1,2,3,0,4,1,3,0,22,11,7,0,3,6,9,2,4,4,6,4,9,4,0,1,plehanov
plehanov_martovskie_idy_I.txt,5,2,18,70,5,6,2,1,8,2,16,5,8,3,77,13,6,15,4,5,1,1,3,19,34,1,15,3,1,1,1,5,1,9,19,1,0,5,5,2,6,10,2,7,22,3,7,4,7,2,15,1,2,4,1,1,8,0,3,0,4,4,4,5,2,9,4,2,1,8,9,1,1,8,1,3,0,6,1,4,0,4,7,0,6,3,5,4,4,1,1,10,4,3,3,0,4,3,0,0,plehanov
plehanov_na_poroge_20v_I.txt,4,1,1,35,2,2,4,1,10,1,11,3,2,7,50,3,9,6,1,3,0,6,5,10,13,1,9,5,1,2,2,2,1,3,6,0,4,4,3,2,0,1,3,4,15,0,5,1,5,2,7,3,2,2,0,1,0,0,4,1,2,6,2,3,4,5,1,3,3,6,3,1,2,0,0,3,1,2,1,0,1,1,0,3,7,3,4,1,2,1,6,1,1,0,0,2,6,0,0,0,plehanov
plehanov_neosnovat_opaseniya.txt,4,0,4,15,1,2,1,4,5,0,0,3,1,0,20,1,4,3,5,0,3,2,0,7,24,1,5,4,1,2,4,3,0,4,6,1,2,2,0,2,2,3,5,2,22,0,6,2,4,0,8,1,1,1,0,0,7,0,2,3,3,4,4,1,0,0,0,0,6,3,1,0,7,4,0,0,0,5,2,0,1,4,2,3,8,3,2,2,0,2,4,1,4,0,4,1,1,0,0,8,plehanov
plehanov_o_chernoy_sotne.txt,18,2,5,44,1,11,0,4,7,6,18,5,14,4,69,7,14,15,9,8,2,4,7,19,43,4,9,14,5,16,0,12,4,1,17,2,1,6,4,3,5,12,6,7,36,5,22,1,3,0,11,1,3,2,3,0,0,0,3,2,5,6,2,24,0,1,4,2,4,2,8,0,5,13,0,6,2,2,7,0,1,2,0,2,14,3,4,4,5,5,1,1,3,3,0,1,5,5,1,12,plehanov
plehanov_otvet_sionistam_I.txt,7,1,9,29,0,4,0,1,5,0,7,4,5,1,26,5,2,8,1,0,1,4,0,17,31,0,12,8,4,4,2,4,1,0,11,0,4,3,3,1,4,4,1,1,34,4,14,2,4,0,9,4,3,0,2,0,0,1,2,0,0,3,1,5,0,0,0,0,1,4,11,3,0,8,1,3,0,1,2,0,6,2,1,2,12,4,5,1,2,1,0,2,3,2,0,3,7,0,1,11,plehanov
plehanov_pervie_frazy_uchenia.txt,75,15,47,465,38,43,20,18,51,34,111,47,55,38,560,50,72,102,40,33,11,23,68,168,248,14,116,68,12,59,17,57,14,13,139,10,13,49,36,25,32,55,29,36,269,27,93,29,33,44,66,13,20,48,7,19,71,6,43,24,43,41,28,109,24,36,25,11,11,25,81,21,33,63,2,24,9,21,35,12,0,26,13,4,89,32,23,24,18,16,4,27,15,13,17,11,26,28,0,14,plehanov
plehanov_pessimizm_kak_otrazhenie.txt,61,8,52,266,11,41,9,13,40,28,73,23,24,26,377,28,26,72,24,12,6,10,65,99,210,19,88,68,14,46,0,49,15,1,85,16,0,35,26,23,21,32,50,22,157,12,51,15,11,0,54,19,12,27,6,5,29,0,21,10,24,18,18,68,18,15,12,17,40,31,45,6,14,33,0,15,0,0,8,0,13,13,17,18,59,18,16,19,10,11,10,28,12,21,28,15,18,10,0,24,plehanov
plehanov_pismo_k_rabochim.txt,5,0,2,12,1,4,1,0,3,1,3,2,3,4,11,1,0,3,3,1,1,1,6,7,17,0,2,3,5,2,2,0,0,1,7,1,0,1,4,7,0,0,2,2,12,1,3,0,0,1,3,0,1,1,1,2,5,0,2,0,2,1,1,5,0,1,0,1,2,1,0,1,0,1,0,1,0,0,2,0,0,0,1,1,3,0,2,0,3,1,3,0,0,0,0,0,0,1,0,1,plehanov
plehanov_police_anisemitizm_I.txt,13,5,18,65,2,16,3,0,6,3,14,12,11,7,93,15,9,16,8,1,3,0,18,32,82,0,25,5,3,8,2,7,4,3,24,2,8,7,4,10,5,7,5,10,56,7,21,4,2,4,22,2,6,5,2,3,20,1,9,5,7,4,5,14,5,4,1,4,6,11,7,0,1,7,1,7,1,5,3,0,1,0,1,5,20,6,2,1,7,7,2,8,4,3,2,4,6,5,1,5,plehanov
plehanov_pora_obyasnitsya.txt,8,1,2,25,3,2,1,2,2,8,3,5,8,3,33,6,3,14,3,3,3,4,4,17,35,3,16,5,0,8,4,12,2,0,14,1,1,4,1,1,3,11,3,1,29,0,18,2,1,1,8,4,5,3,0,2,1,0,7,3,1,3,1,9,1,1,2,0,1,1,2,3,8,1,0,4,0,0,3,0,0,2,2,3,11,0,2,0,5,2,2,0,1,2,1,1,6,5,0,13,plehanov
plehanov_simptomat_mistake.txt,11,1,9,35,1,5,0,1,6,2,19,6,10,2,61,8,6,12,0,4,1,5,1,19,45,2,16,8,2,5,0,10,1,0,12,1,0,6,7,6,3,10,4,3,33,5,13,4,1,0,13,2,10,2,3,1,0,0,6,2,3,1,5,12,1,3,5,1,5,1,5,2,9,8,0,7,0,0,1,0,4,0,5,0,5,6,4,4,2,2,0,3,0,1,4,2,8,5,0,13,plehanov
plehanov_slovo_prinadlezhit_menshevikam.txt,12,0,3,29,1,3,1,0,6,2,5,9,4,2,31,4,3,5,0,2,2,5,2,12,33,2,10,1,5,3,7,8,4,0,14,1,0,4,1,0,1,11,3,1,19,1,5,2,0,1,18,0,6,3,3,1,1,0,2,1,5,2,0,11,1,3,1,0,3,1,11,1,4,1,0,2,0,0,0,0,1,4,2,1,6,5,0,1,4,1,1,1,1,2,1,0,1,5,0,16,plehanov
plehanov_torzhestvo_sr_I.txt,3,0,3,26,0,9,0,1,4,8,3,1,3,2,34,2,4,5,3,1,2,4,10,12,25,1,8,0,0,4,5,18,0,0,7,3,6,6,1,1,1,6,1,1,23,3,7,1,0,1,3,1,0,2,0,1,3,2,1,2,4,4,1,5,2,0,0,4,2,11,10,3,2,3,1,0,0,1,3,0,5,2,4,1,7,1,1,1,3,0,0,4,1,2,2,2,0,0,1,0,plehanov
plehanov_uspenskiy.txt,123,20,49,494,21,85,21,41,65,31,181,30,106,57,668,73,44,176,30,21,15,44,83,193,367,38,144,240,15,52,0,88,25,4,186,14,3,63,30,26,36,81,68,40,321,34,81,12,25,8,88,22,21,30,9,17,16,0,36,32,29,52,25,149,14,21,36,27,16,66,70,21,31,35,6,24,1,5,9,1,16,26,32,21,139,33,37,17,27,26,26,10,21,15,33,29,43,5,0,37,plehanov
plehanov_vremena_menyayutsya_I.txt,0,2,3,32,5,3,1,2,4,1,3,1,1,3,30,4,6,3,4,1,1,0,10,17,25,0,8,2,2,5,1,3,3,0,7,1,0,1,0,6,1,7,3,7,13,3,5,1,3,1,4,4,1,8,1,1,7,0,2,2,2,2,0,5,1,0,1,1,0,0,2,0,2,2,0,2,0,0,3,2,4,3,1,1,4,1,5,4,1,1,0,3,0,0,1,0,2,0,0,0,plehanov
plehanov_vroz_idti_vmeste_bit_I.txt,16,8,8,97,13,11,9,8,14,7,20,8,8,7,96,8,5,21,6,10,4,7,25,45,58,4,12,4,1,15,4,14,15,1,28,11,8,7,12,19,7,12,12,5,41,7,19,1,13,5,12,3,5,4,2,2,1,3,8,1,8,8,1,27,2,5,0,12,20,15,21,4,9,4,1,5,2,7,4,1,6,5,4,4,22,9,10,1,6,2,10,0,6,6,4,4,6,1,0,3,plehanov
trotsky_chto_dalshe.txt,12,8,11,90,10,8,5,1,23,8,9,8,13,11,105,12,13,20,2,3,9,7,11,43,56,7,34,10,2,12,8,21,2,9,37,3,9,8,6,7,7,14,4,10,25,13,16,4,2,3,14,3,5,12,6,4,5,3,10,2,13,14,1,19,4,0,3,1,6,6,10,1,16,14,5,2,5,7,4,22,5,6,7,5,11,1,3,4,3,4,12,1,5,3,2,2,10,5,0,1,trotsky
