chunk_id,author,а,будет,бы,была,были,было,быть,в,во,вопрос,время,все,всего,дело,для,его,ее,если,есть,еще,же,за,и,из,или,им,их,к,как,когда,которые,лишь,между,может,можно,на,не,нет,ни,но,о,об,он,она,они,от,очень,по,под,при,с,своей,своих,себе,себя,так,тем,то,того,только,том,у,чем,что,чтобы,эти,это,этого,этой,этом,я,без,до,именно,ли,оно,потому,уже,более,всех,г,демократии,партии,против,социал,т,борьбы,даже,рабочих,россии,со,теперь,был,этот,мы,нас,нам,пролетариата,политической,революции
trotsky_perm_rev.txt_chunk24,trotsky,8,1,7,4,0,2,0,43,0,2,0,1,4,1,2,1,5,3,1,1,4,0,36,2,1,0,0,1,11,2,1,0,1,0,0,6,17,1,3,8,3,2,2,2,0,1,0,6,0,2,11,1,1,0,0,3,6,5,2,5,2,8,1,15,2,2,11,1,1,0,0,2,4,3,2,0,0,1,5,0,1,1,2,7,0,6,0,3,1,1,3,3,0,0,6,4,0,7,0,6
trotsky_perm_rev.txt_chunk25,trotsky,8,0,2,3,0,0,1,37,2,2,1,2,1,2,2,2,3,1,0,2,8,3,25,6,3,1,1,6,8,2,2,0,0,0,2,9,24,0,0,2,5,1,3,1,2,2,1,4,2,1,11,1,1,1,2,3,2,3,0,6,3,1,2,8,0,1,1,0,1,1,1,0,3,1,0,2,0,0,2,0,4,0,0,2,0,2,0,2,0,2,0,0,0,1,4,0,0,3,1,26
trotsky_perm_rev.txt_chunk26,trotsky,3,2,4,1,1,0,0,41,2,2,1,3,2,0,4,1,3,6,2,2,5,3,39,5,0,0,1,9,10,0,1,1,3,0,0,9,16,1,3,4,2,0,3,3,1,1,1,1,2,1,9,1,0,1,0,5,0,6,1,2,2,2,0,10,3,1,5,1,1,4,5,1,4,3,5,0,0,1,0,0,4,0,2,2,0,2,2,1,0,4,1,2,1,1,1,0,0,4,1,6
trotsky_perm_rev.txt_chunk27,trotsky,5,0,3,1,1,3,0,40,3,0,1,4,3,2,4,7,3,7,4,1,2,2,30,7,7,0,1,8,9,0,2,0,6,5,2,9,19,0,2,9,2,0,3,2,1,5,1,1,0,0,6,0,0,0,0,4,7,3,5,6,2,6,4,18,1,1,8,1,0,0,2,0,3,4,3,0,1,2,0,0,1,0,0,1,1,4,0,0,1,6,1,0,1,0,6,5,0,1,1,6
trotsky_perm_rev.txt_chunk28,trotsky,12,1,1,2,0,4,1,55,2,1,1,3,1,1,4,3,2,2,1,6,6,3,21,4,1,0,0,5,7,1,0,0,0,1,1,10,22,3,3,5,3,0,7,1,2,1,1,11,2,1,12,1,1,1,0,0,2,3,0,4,7,6,7,19,0,2,7,1,0,0,0,0,1,1,0,1,2,4,4,3,8,4,2,1,0,1,1,1,2,2,0,3,1,4,3,3,1,2,4,7
trotsky_perm_rev.txt_chunk29,trotsky,6,2,4,0,4,1,6,40,4,3,2,3,2,4,3,2,2,3,0,5,3,0,36,4,5,2,1,6,12,5,1,2,2,4,1,6,22,5,0,6,8,3,4,0,1,2,0,6,0,0,8,0,0,1,0,4,0,4,2,6,2,2,2,5,1,2,8,1,0,2,0,0,0,0,5,2,0,5,1,1,2,6,0,1,0,3,2,1,0,1,0,1,1,3,1,3,0,5,0,13
trotsky_perm_rev.txt_chunk3,trotsky,4,0,3,2,2,1,2,36,1,3,0,3,5,1,10,1,2,3,1,0,0,1,33,4,2,1,1,11,10,0,0,6,2,3,1,9,18,1,0,2,2,2,4,6,7,4,0,3,3,2,13,0,1,0,0,1,1,4,1,1,0,1,2,9,1,0,2,1,2,2,4,0,0,1,0,0,0,5,1,4,3,2,0,3,0,1,3,0,1,3,1,0,0,1,2,1,1,10,0,16
trotsky_perm_rev.txt_chunk30,trotsky,4,1,6,0,0,2,3,43,2,2,0,2,1,0,4,2,4,3,0,3,5,8,44,5,8,1,4,7,3,0,1,1,1,7,1,10,22,2,3,5,3,0,2,2,0,6,0,2,0,5,9,1,2,1,1,0,1,2,0,4,3,1,2,12,2,0,3,3,1,0,1,1,2,1,2,0,0,1,0,1,2,0,1,1,1,8,0,2,1,2,0,0,0,0,1,1,0,10,1,6
trotsky_perm_rev.txt_chunk31,trotsky,7,4,4,0,0,1,5,34,2,4,0,4,0,0,15,0,0,3,0,7,6,6,34,4,3,0,1,4,5,3,0,1,1,7,1,16,22,7,1,10,6,0,0,0,0,5,2,3,2,3,8,0,2,0,2,2,1,4,1,11,3,1,2,11,2,0,12,2,2,1,1,0,2,0,2,0,0,4,1,0,0,1,1,3,0,1,0,2,2,1,0,1,2,2,7,0,4,10,1,3
trotsky_perm_rev.txt_chunk32,trotsky,5,2,2,2,0,0,0,37,0,2,0,5,1,3,4,3,1,3,7,1,5,1,32,0,2,0,2,7,11,1,2,1,2,4,1,17,21,0,4,9,5,1,3,2,2,6,0,8,0,6,6,0,0,6,1,2,3,3,0,7,2,5,1,17,0,0,5,1,5,2,0,1,4,2,2,0,0,2,2,0,4,2,1,1,0,2,1,0,3,5,1,0,1,1,7,4,3,5,1,8
trotsky_perm_rev.txt_chunk33,trotsky,8,2,1,1,0,2,1,35,3,2,2,3,1,1,3,1,0,4,0,4,6,0,33,3,6,1,1,0,10,3,0,1,4,1,2,15,29,1,3,9,5,0,5,0,1,4,3,6,0,4,10,1,0,1,1,5,0,3,1,10,3,1,2,16,2,1,12,1,0,4,7,3,2,1,4,1,1,4,1,1,5,2,0,2,0,7,0,1,0,1,0,1,2,1,11,5,4,9,1,13
