,authorFull,authorID,authorGender,titleFull,titleID,publYear / written,"publDate, YYYY-MM-DD",publishedBy,sizeToken/Word,sizeDigit,"size, kb",dataset (Y/N / 1/0),"typeSource (online, digital, manual)",SourceName,"OCR (tesseract, liveText, no)",Prereform2modern (YES/NO),textSource,textValidation (Y/N),comments,
25,"Ульянов (Ленин), Владимир Ильич",lenin,M,РАССКАЗ О II СЪЕЗДЕ РСДРП,rasskaz_o_II_cyezde,1903,1903-09-01,Впервые напечатано в 1927 г. в Ленинском сборнике VI,4164,28746,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,Написано в первой половине сентября 1903 г. Впервые напечатано в 1927 г. в Ленинском сборнике VI,
26,"Ульянов (Ленин), Владимир Ильич",lenin,M,МАКСИМУМ БЕЗЗАСТЕНЧИВОСТИ И МИНИМУМ ЛОГИКИ,max_min_I,1903,1903-10-01,"Газета ""Искра"" №49",1694,11877,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 49, 1 октября 1903 г.",
27,"Ульянов (Ленин), Владимир Ильич",lenin,M,ПОЛОЖЕНИЕ БУНДА В ПАРТИИ,polozhenie_bunda_I,1903,1903-10-22,"Газета ""Искра"" №51",3050,23163,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 51, 22 октября 1903 г.",
28,"Ульянов (Ленин), Владимир Ильич",lenin,M,НАРОДНИЧЕСТВУЮЩАЯ БУРЖУАЗИЯ И РАСТЕРЯННОЕ НАРОДНИЧЕСТВО,narodnichestvo_I,1903,1903-12-01,"Газета ""Искра"" №54",2162,17010,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,"Написано между 29 октября и 5 ноября (11 и 18 ноября) 1903 г. Напечатано в газете «Искра» № 54,1 декабря 1903 г. Подпись: Н. Ленин",
29,"Ульянов (Ленин), Владимир Ильич",lenin,M,В РЕДАКЦИЮ ЦО РСДРП,iskra_quit,1903,1903-11-5,Напечатано в 1904 г. в брошюре: Л. Мартов. «Борьба с «осадным положением» в Российской социал-демократической рабочей партии». Женева,33,188,,0,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,Написано 5 (18) ноября 1903 г. Напечатано в 1904 г. в брошюре: Л. Мартов. «Борьба с «осадным положением» в Российской социал-демократической рабочей партии». Женева,УБРАЛА ИЗ ДАТАСЕТА - СЛИШКОМ КОРОТКОЕ
30,"Ульянов (Ленин), Владимир Ильич",lenin,M,ПИСЬМО В РЕДАКЦИЮ «ИСКРЫ»,pismo_v_iskru_I,1903,1903-11-25,"Газета ""Искра"" №53",1131,8012,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,"«Искра» № 53, 25 ноября 1903 г.",
31,"Ульянов (Ленин), Владимир Ильич",lenin,M,ПОЧЕМУ Я ВЫШЕЛ ИЗ РЕДАКЦИИ «ИСКРЫ»?,pochemu_quit,1903,1903-12-01,"Напечатано отдельным листком. ""было послано мной в «Искру» тотчас после выхода № 53. Редакция отказалась поместить его в № 54, и я вынужден выступить с отдельным листком""",1768,12648,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,"""Как широко распространилась за границей вся этого рода литература, видно из того, что даже добрый Парвус пошел в поход против стремления соединять все нити в одной руке и «командовать» (sic!) рабочими из какой-нибудь Женевы («Aus der Weltpolitik», V. Jahrg., № 48, 30 - XI 1903)."" 
Написано между 25 и 29 ноября (8 и 12 декабря) 1903 г. Напечатано в декабре 1903 г. отдельным листком. Подпись: Н. Ленин",
32,"Ульянов (Ленин), Владимир Ильич",lenin,M,ОБ ОБСТОЯТЕЛЬСТВАХ УХОДА ИЗ РЕДАКЦИИ «ИСКРЫ»,ob_obstoyatelstvah,1904,1904-03-01,Напечатано в брошюре «Комментарий к протоколам второго съезда Заграничной лиги русской революционной социал-демократии». Женева,1520,10263,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,Напечатано в 1904 г. в брошюре «Комментарий к протоколам второго съезда Заграничной лиги русской революционной социал-демократии». Женева,
33,"Ульянов (Ленин), Владимир Ильич",lenin,M,ПЕРВОЕ МАЯ,1st_of_may,1904,1904-04-01,Напечатано отдельным листком. ,1002,7078,,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,Написано 2 (15) апреля 1904 г. Напечатано с изменениями в апреле 1904 г. отдельным листком,
34,"Ульянов (Ленин), Владимир Ильич",lenin,M,"ШАГ ВПЕРЕД, ДВА ШАГА НАЗАД",shag_vpered_2nazad,1904,1904-05-01,Напечатано в мае 1904 г. в Женеве отдельной книгой,62416,450316,821,1,online,http://uaio.ru/vil/vilall.htm ПСС.Т.8.,NO,NO,Т.8 http://uaio.ru/vil/vilall.htm,N,"""мы будем бороться против ревизионизма, не воюя с неуместной резкостью (à la Собакевич-Parvus) против ревизиониста, мы этого ревизиониста «убьем посредством мягкости» (kill with kindness), как охарактеризовал это, помнится, тов. М. Бер (М. Beer) на одном английском социал-демократическом собрании, защищая немецкую уступчивость, миролюбие, мягкость, гибкость и осмотрительность против нападок английского Собакевича-Гайндмана.""
Написано в феврале - мае 1904 г. Напечатано в мае 1904 г. в Женеве отдельной книгой. Печатается по тексту книги, сверенному с рукописью и текстом сборника: Вл. Ильин. «За 12 лет», 1907. Печатается по тексту книги, сверенному с рукописью и текстом сборника: Вл. Ильин. «За 12 лет», 1907","Написано в феврале - мае 1904 г. Напечатано в мае 1904 г. в Женеве отдельной книгой. Печатается по тексту книги, сверенному с рукописью и текстом сборника: Вл. Ильин. «За 12 лет», 1907. Печатается по тексту книги, сверенному с рукописью и текстом сборника: Вл. Ильин. «За 12 лет», 1907"
